instrument 9  start 15.05067  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.05067  duration 0.00000  amplitude 43  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.00000  amplitude 43  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.00000  amplitude 0  pitch 6.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 78.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 78.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.25002  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.25002  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.25002  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 78.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.06317  duration 0.01250  amplitude 44  pitch 77.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.31320  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.31320  duration 0.00000  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.32570  duration 0.00000  amplitude 45  pitch 74.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.56320  duration 0.00000  amplitude 45  pitch 76.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.57570  duration 0.00000  amplitude 45  pitch 74.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.81320  duration 0.00002  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 16.06320  duration 0.00002  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 16.31320  duration 0.00002  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 16.56320  duration 0.00002  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 16.81320  duration 0.00002  amplitude 0  pitch 60.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.06320  duration 0.00002  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.31320  duration 0.00000  amplitude 45  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.32570  duration 0.00000  amplitude 45  pitch 74.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.56320  duration 0.00000  amplitude 45  pitch 76.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.57570  duration 0.00000  amplitude 45  pitch 74.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 17.57570  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
